date,Consumption,Production
2021-08-15 15:45:00,686.0873,676.6667
2021-08-15 16:00:00,2378.2283,2401.3333
2021-08-15 16:15:00,1292.2943,1433.6666
2021-08-15 16:30:00,627.8656,2475.6667
2021-08-15 16:45:00,1934.5677,3895.3333
2021-08-15 17:00:00,565.03296,3305.0
2021-08-15 17:15:00,537.54126,2986.6667
2021-08-15 17:30:00,489.53638,2546.3333
2021-08-15 17:45:00,271.90955,2138.0
2021-08-15 18:00:00,272.20032,1706.6666
2021-08-15 18:15:00,327.6178,1373.3334
2021-08-15 18:30:00,352.1885,677.6667
2021-08-15 18:45:00,359.3979,793.6667
2021-08-15 19:00:00,284.30252,509.33334
2021-08-15 19:15:00,297.0382,270.33334
2021-08-15 19:30:00,291.0259,272.0
2021-08-15 19:45:00,265.58624,258.33334
2021-08-15 20:00:00,295.8321,284.66666
2021-08-15 20:15:00,387.1171,383.0
2021-08-15 20:30:00,367.34357,348.0
2021-08-15 20:45:00,403.21503,389.0
2021-08-15 21:00:00,407.63916,392.33334
2021-08-15 21:15:00,639.95386,635.3333
2021-08-15 21:30:00,594.25323,580.0
2021-08-15 21:45:00,603.918,569.3333
2021-08-15 22:00:00,516.80536,519.75
2021-08-15 22:15:00,613.0511,606.0
2021-08-15 22:30:00,653.28235,629.3333
2021-08-15 22:45:00,685.37024,672.0
